  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   259     1   0  8:33AM ??        18:19.40 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  200   275     1   0  8:33AM ??         0:06.38 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
    0   301     1   0  8:33AM ??         0:00.06 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  200   302     1   0  8:33AM ??         0:00.80 /usr/sbin/distnoted agent
    0   304     1   0  8:33AM ??         0:00.43 /usr/libexec/securityd_system
    0   306     1   0  8:33AM ??         0:01.02 /usr/libexec/storagekitd
   55   307     1   0  8:33AM ??         0:00.22 /System/Library/CoreServices/appleeventsd --server
  262   308     1   0  8:33AM ??         0:03.05 /usr/sbin/appleh13camerad
  262   309     1   0  8:33AM ??         0:00.11 /usr/libexec/cameracaptured
  262   310     1   0  8:33AM ??         0:00.14 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
    0   313     1   0  8:33AM ??         1:06.59 /usr/libexec/syspolicyd
  202   314     1   0  8:33AM ??         0:02.43 Core Audio Driver (MSTeamsAudioDevice.driver)
  202   315     1   0  8:33AM ??         0:00.01 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
    0   316     1   0  8:33AM ??         0:00.06 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
    0   317     1   0  8:33AM ??         0:00.04 /usr/libexec/bootinstalld
  202   318     1   0  8:33AM ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
